season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2021-22,1610612746,LAC,LA Clippers,22100378,2021-12-08,LAC vs. BOS,W,48.0,33.0,13.0,10.0,44.0,24.0,15.0,14.0,60.0,0,0,0,0,117,19,1121,1473,1446,2154,1500,1466,2161,1,2021,2022,True,LAC,BOS,DEC
2021-22,1610612746,LAC,LA Clippers,22100362,2021-12-06,LAC @ POR,W,48.0,19.0,14.0,6.0,42.0,21.0,7.0,8.0,52.0,0,0,0,0,117,709,962,2040,1613,1861,270,540,1630,1,2021,2022,False,POR,LAC,DEC
2021-22,1610612746,LAC,LA Clippers,22100348,2021-12-04,LAC @ SAC,L,48.0,16.0,14.0,7.0,32.0,14.0,16.0,14.0,40.0,0,0,0,0,117,1155,962,1922,2294,867,1649,1466,507,1,2021,2022,False,SAC,LAC,DEC
2021-22,1610612746,LAC,LA Clippers,22100341,2021-12-03,LAC @ LAL,W,48.0,14.0,12.0,8.0,36.0,10.0,16.0,7.0,54.0,0,0,0,0,117,1426,1311,1767,2085,337,1649,422,1788,1,2021,2022,False,LAL,LAC,DEC
2021-22,1610612746,LAC,LA Clippers,22100327,2021-12-01,LAC vs. SAC,L,48.0,10.0,12.0,11.0,58.0,20.0,8.0,20.0,54.0,0,0,0,0,117,2010,1311,1283,301,1753,380,2125,1788,1,2021,2022,True,LAC,SAC,DEC
2021-22,1610612746,LAC,LA Clippers,22100313,2021-11-29,LAC vs. NOP,L,48.0,10.0,4.0,6.0,32.0,14.0,18.0,22.0,66.0,0,0,0,0,117,2010,2349,2040,2294,867,1927,2243,2352,1,2021,2022,True,LAC,NOP,NOV
2021-22,1610612746,LAC,LA Clippers,22100300,2021-11-28,LAC vs. GSW,L,48.0,10.0,19.0,7.0,36.0,31.0,16.0,18.0,42.0,0,0,0,0,117,2010,358,1922,2085,2415,1649,1959,672,1,2021,2022,True,LAC,GSW,NOV
2021-22,1610612746,LAC,LA Clippers,22100280,2021-11-26,LAC vs. DET,W,48.0,10.0,7.0,6.0,48.0,19.0,21.0,15.0,44.0,0,0,0,0,117,2010,2082,2040,1031,1617,2180,1614,849,1,2021,2022,True,LAC,DET,NOV
2021-22,1610612746,LAC,LA Clippers,22100266,2021-11-23,LAC vs. DAL,L,53.0,25.0,13.0,12.0,40.0,22.0,15.0,5.0,46.0,0,0,0,0,15,177,1121,1132,1790,1980,1500,202,1016,1,2021,2022,True,LAC,DAL,NOV
2021-22,1610612746,LAC,LA Clippers,22100248,2021-11-21,LAC vs. DAL,W,48.0,10.0,10.0,7.0,40.0,20.0,10.0,8.0,42.0,0,0,0,0,117,2010,1624,1922,1790,1753,667,540,672,1,2021,2022,True,LAC,DAL,NOV
