SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,AVAILABLE_FLAG
2015-16,1610612742,DAL,Dallas Mavericks,0021501196,2016-04-10T00:00:00,DAL @ LAC,L,48.0,0.459,0.446,0.165,0.224,0.546,0.487,0.115,0.154,0,0,0,0,155,1836,147,1647,1836,1831,2379,1934,103,1.0
2015-16,1610612744,GSW,Golden State Warriors,0021501201,2016-04-10T00:00:00,GSW @ SAS,W,48.0,0.506,0.234,0.143,0.213,0.394,0.211,0.133,0.317,0,0,0,0,155,1133,1597,1136,1960,91,634,1529,1747,1.0
2015-16,1610612745,HOU,Houston Rockets,0021501195,2016-04-10T00:00:00,HOU vs. LAL,W,48.0,0.597,0.184,0.135,0.365,0.566,0.229,0.206,0.209,0,0,0,0,155,194,2068,948,271,2048,809,190,447,1.0
2015-16,1610612746,LAC,LA Clippers,0021501196,2016-04-10T00:00:00,LAC vs. DAL,W,48.0,0.546,0.487,0.115,0.154,0.459,0.446,0.165,0.224,0,0,0,0,155,628,82,509,2354,624,2312,791,611,1.0
2015-16,1610612764,WAS,Washington Wizards,0021501194,2016-04-10T00:00:00,WAS vs. CHA,W,48.0,0.581,0.35,0.118,0.119,0.42,0.432,0.147,0.196,0,0,0,0,155,274,538,579,2433,218,2273,1199,344,1.0
2015-16,1610612751,BKN,Brooklyn Nets,0021501199,2016-04-10T00:00:00,BKN @ IND,L,48.0,0.462,0.286,0.143,0.241,0.622,0.314,0.19,0.366,0,0,0,0,155,1800,1066,1136,1653,2362,1655,350,2191,1.0
2015-16,1610612747,LAL,Los Angeles Lakers,0021501195,2016-04-10T00:00:00,LAL @ HOU,L,48.0,0.566,0.229,0.206,0.209,0.597,0.184,0.135,0.365,0,0,0,0,155,407,1647,2269,1998,2267,392,1510,2178,1.0
2015-16,1610612752,NYK,New York Knicks,0021501202,2016-04-10T00:00:00,NYK vs. TOR,L,48.0,0.399,0.236,0.106,0.441,0.519,0.244,0.084,0.227,0,0,0,0,155,2345,1565,347,39,1508,967,2338,644,1.0
2015-16,1610612748,MIA,Miami Heat,0021501200,2016-04-10T00:00:00,MIA vs. ORL,W,48.0,0.597,0.39,0.122,0.167,0.488,0.229,0.162,0.204,0,0,0,0,155,193,314,671,2296,1023,809,875,384,1.0
2015-16,1610612754,IND,Indiana Pacers,0021501199,2016-04-10T00:00:00,IND vs. BKN,W,48.0,0.622,0.314,0.19,0.366,0.462,0.286,0.143,0.241,0,0,0,0,155,99,800,2106,267,656,1378,1283,805,1.0
