CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
1642345,Oso Ighodaro,1610612756,PHX,F,22.0,57,57,0.673,3.05,5.95,0.513,0.545,-0.032
1627742,Brandon Ingram,1610612761,TOR,F,27.0,18,18,0.598,3.17,5.94,0.533,0.545,-0.012
1630549,Day'Ron Sharpe,1610612751,BKN,C,23.0,50,49,0.714,3.12,5.94,0.525,0.551,-0.025
1628369,Jayson Tatum,1610612738,BOS,F-G,27.0,72,72,0.605,3.35,5.94,0.563,0.554,0.009
1626172,Kevon Looney,1610612744,GSW,F,29.0,76,75,0.7,2.75,5.93,0.463,0.548,-0.084
1629674,Neemias Queta,1610612738,BOS,C,25.0,58,54,0.692,2.98,5.93,0.503,0.541,-0.038
1627752,Taurean Prince,1610612749,MIL,F,31.0,80,80,0.629,3.28,5.89,0.556,0.541,0.016
1630532,Franz Wagner,1610612753,ORL,F,23.0,60,60,0.573,3.28,5.87,0.56,0.543,0.017
1629669,Jaylen Nowell,1610612740,NOP,G,25.0,7,7,0.719,3.57,5.86,0.61,0.542,0.068
1642267,Bub Carrington,1610612764,WAS,G,19.0,82,81,0.576,3.33,5.85,0.569,0.538,0.031
1630533,Ziaire Williams,1610612751,BKN,F,23.0,63,63,0.585,3.37,5.84,0.576,0.537,0.039
2544,LeBron James,1610612747,LAL,F,40.0,69,68,0.529,3.13,5.83,0.537,0.548,-0.011
1631106,Tari Eason,1610612745,HOU,F,24.0,57,57,0.606,2.95,5.81,0.508,0.551,-0.044
1631218,Trayce Jackson-Davis,1610612744,GSW,F,25.0,59,55,0.721,3.08,5.81,0.531,0.551,-0.021
1627777,Georges Niang,1610612737,ATL,F,31.0,79,79,0.633,3.16,5.8,0.546,0.546,0.0
1629631,De'Andre Hunter,1610612739,CLE,F-G,27.0,64,64,0.582,3.02,5.78,0.522,0.548,-0.026
1626204,Larry Nance Jr.,1610612737,ATL,F-C,32.0,23,22,0.616,3.3,5.78,0.571,0.549,0.023
1630558,Davion Mitchell,1610612748,MIA,G,26.0,73,73,0.561,3.01,5.77,0.523,0.538,-0.016
1629640,Keldon Johnson,1610612759,SAS,F-G,25.0,77,77,0.652,3.21,5.77,0.556,0.551,0.006
1629021,Moritz Wagner,1610612753,ORL,F-C,28.0,29,28,0.708,3.41,5.76,0.593,0.553,0.04
203992,Bogdan Bogdanović,1610612746,LAC,G,32.0,54,52,0.563,3.09,5.76,0.537,0.542,-0.005
1641787,Tosan Evbuomwan,1610612751,BKN,F,24.0,28,27,0.657,2.89,5.75,0.503,0.541,-0.037
1630202,Payton Pritchard,1610612738,BOS,G,27.0,80,79,0.621,3.03,5.75,0.526,0.533,-0.007
1630182,Josh Green,1610612766,CHA,G,24.0,67,66,0.592,3.21,5.7,0.563,0.536,0.027
1630658,Colin Castleton,1610612761,TOR,C,25.0,23,21,0.606,2.87,5.7,0.504,0.54,-0.036
