player,team,number,position,height,weight,last_attended,country,birthdate,experience,draft,profile_url,is_active,is_free_agent,is_retired,headshot_url,legacy
Patty Mills,LAC,88,Guard,6-2,180,St. Mary's,Australia,"August 11, 1988",15 Years,2009 R2 Pick 55,https://www.nba.com/player/201988/patty-mills,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201988.png,False
Terry Mills,,,Forward,,,Michigan,USA,"December 21, 1967",11 Years,1990 R1 Pick 16,https://www.nba.com/player/371/terry-mills,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/371.png,False
Elijah Millsap,,22,Guard-Forward,6-7,215,Alabama-Birmingham,USA,"August 12, 1987",4 Years,Undrafted,https://www.nba.com/player/202407/elijah-millsap,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202407.png,False
Paul Millsap,,8,Forward,6-7,257,Louisiana Tech,USA,"February 10, 1985",17 Years,2006 R2 Pick 47,https://www.nba.com/player/200794/paul-millsap,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200794.png,False
Shake Milton,LAL,20,Guard,6-5,205,Southern Methodist,USA,"September 26, 1996",6 Years,2018 R2 Pick 54,https://www.nba.com/player/1629003/shake-milton,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Justin Minaya,POR,10,Forward,6-5,205,Providence,USA,"March 26, 1999",2 Years,Undrafted,https://www.nba.com/player/1631303/justin-minaya,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Harold Miner,,4,Guard,6-5,210,Southern California,USA,"May 5, 1971",4 Years,1992 R1 Pick 12,https://www.nba.com/player/114/harold-miner,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/114.png,False
Riley Minix,SAS,27,Forward,6-7,230,Morehead State,USA,"September 22, 2000",Rookie,Undrafted,https://www.nba.com/player/1642434/riley-minix,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1642434.png,False
Dirk Minniefield,,11,Guard,6-3,180,Kentucky,USA,1961-01-17T00:00:00,3 Years,1983 #33,https://www.nba.com/player/77609/HISTADD-dirk-minniefield,False,False,True,,True
Dave Minor,,8,Guard,6-2,185,UCLA,USA,1922-02-23T00:00:00,2 Years,Undrafted #Undrafted,https://www.nba.com/player/77610/HISTADD-dave-minor,False,False,True,,True
Greg Minor,,,Guard,6-6,210,Louisville,USA,"September 8, 1971",5 Years,1994 R1 Pick 25,https://www.nba.com/player/65/greg-minor,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/65.png,False
Mark Minor,,20,Forward,6-6,215,Ohio State,USA,1950-05-14T00:00:00,1 Years,1972 #165,https://www.nba.com/player/77612/HISTADD-mark-minor,False,False,True,,True
Josh Minott,MIN,8,Forward,6-8,205,Memphis,USA,"November 25, 2002",2 Years,2022 R2 Pick 45,https://www.nba.com/player/1631169/josh-minott,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Nikola Mirotic,,41,Forward,6-10,250,Real Madrid,Montenegro,"February 11, 1991",6 Years,2011 R1 Pick 23,https://www.nba.com/player/202703/nikola-mirotic,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202703.png,False
Wat Misaka,,15,Guard,5-7,150,Utah,USA,1923-12-21,1 Years,1947,https://www.nba.com/player/77613/HISTADD-wat-misaka,False,False,True,,True
Jason Miskiri,,,Guard,6-2,185,George Mason,USA,"August 19, 1975",2 Years,Undrafted,https://www.nba.com/player/1954/jason-miskiri,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1954.png,False
Yves Missi,NOP,21,Center,6-11,235,Baylor,Cameroon,"May 14, 2004",Rookie,2024 R1 Pick 21,https://www.nba.com/player/1642274/tmp-yves-missi,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Ajay Mitchell,OKC,25,Guard,6-5,190,California-Santa Barbara,Belgium,"June 25, 2002",Rookie,2024 R2 Pick 38,https://www.nba.com/player/1642349/ajay-mitchell,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Davion Mitchell,MIA,45,Guard,6-0,202,Baylor,USA,"September 5, 1998",3 Years,2021 R1 Pick 9,https://www.nba.com/player/1630558/davion-mitchell,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Donovan Mitchell,CLE,45,Guard,6-3,215,Louisville,USA,"September 7, 1996",7 Years,2017 R1 Pick 13,https://www.nba.com/player/1628378/donovan-mitchell,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Mike Mitchell,,34,Forward,6-7,215,Auburn,USA,1956-01-01T00:00:00,10 Years,1978 #15,https://www.nba.com/player/77615/HISTADD-mike-mitchell,False,False,True,,True
Murray Mitchell,,,Center,6-6,,Sam Houston State,USA,1923-03-19,1 Years,1948,https://www.nba.com/player/77616/HISTADD-murray-mitchell,False,False,True,,True
Sam Mitchell,,42,Forward,6-7,215,Mercer,USA,"September 2, 1963",13 Years,1985 R3 Pick 54,https://www.nba.com/player/417/sam-mitchell,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/417.png,False
Todd Mitchell,,32,Forward,6-7,205,Purdue,USA,1966-07-26T00:00:00,1 Years,1988 #43,https://www.nba.com/player/77614/HISTADD-todd-mitchell,False,False,True,,True
Tony Mitchell,,,Forward,6-6,216,Alabama,USA,"August 7, 1989",2 Years,Undrafted,https://www.nba.com/player/203183/tony-mitchell,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203183.png,False
Tony Mitchell,,,,,,North Texas,USA,"April 7, 1992",3 Years,2013 R2 Pick 37,https://www.nba.com/player/203502/tony-mitchell,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203502.png,False
Naz Mitrou-Long,,15,Guard,6-3,218,Iowa State,Canada,"August 3, 1993",4 Years,Undrafted,https://www.nba.com/player/1628513/naz-mitrou-long,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628513.png,False
Steve Mix,,50,Forward,6-7,215,Toledo,USA,1947-12-30T00:00:00,13 Years,1969 #61,https://www.nba.com/player/77618/HISTADD-steve-mix,False,False,True,,True
Bill Mlkvy,,16,Forward,6-4,190,Temple,USA,1931-01-19,1 Years,1952,https://www.nba.com/player/77619/HISTADD-bill-mlkvy,False,False,True,,True
Cuttino Mobley,,32,Guard,6-4,215,Rhode Island,USA,"September 1, 1975",12 Years,1998 R2 Pick 41,https://www.nba.com/player/1749/cuttino-mobley,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1749.png,False
Eric Mobley,,,Center,6-11,235,Pittsburgh,USA,"February 1, 1970",3 Years,1994 R1 Pick 18,https://www.nba.com/player/211/eric-mobley,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/211.png,False
Evan Mobley,CLE,4,Center,6-11,215,Southern California,USA,"June 18, 2001",3 Years,2021 R1 Pick 3,https://www.nba.com/player/1630596/evan-mobley,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Isaiah Mobley,,,Forward,6-8,238,USC,USA,"September 24, 1999",2 Years,2022 R2 Pick 49,https://www.nba.com/player/1630600/isaiah-mobley,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Larry Moffett,,41,Forward,6-8,210,UNLV,USA,1954-11-05T00:00:00,1 Years,1977 #34,https://www.nba.com/player/77621/HISTADD-larry-moffett,False,False,True,,True
Jonathan Mogbo,TOR,2,Forward,6-9,225,San Francisco,USA,"October 29, 2001",Rookie,2024 R2 Pick 31,https://www.nba.com/player/1642367/jonathan-mogbo,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Leo Mogus,,18,Forward,6-4,190,Youngstown State,USA,1921-04-13T00:00:00,4 Years,Undrafted #Undrafted,https://www.nba.com/player/77622/HISTADD-leo-mogus,False,False,True,,True
Nazr Mohammed,,13,Center,6-10,250,Kentucky,USA,"September 5, 1977",19 Years,1998 R1 Pick 29,https://www.nba.com/player/1737/nazr-mohammed,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1737.png,False
Jerome Moiso,,,Forward,6-10,260,UCLA,France,"June 15, 1978",5 Years,2000 R1 Pick 11,https://www.nba.com/player/2040/jerome-moiso,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2040.png,False
Paul Mokeski,,44,Center,7-0,250,Kansas,USA,1957-01-03T00:00:00,12 Years,1979 #42,https://www.nba.com/player/77623/HISTADD-paul-mokeski,False,False,True,,True
Adam Mokoka,,20,Guard,6-4,190,Mega Basket,France,"July 18, 1998",3 Years,Undrafted,https://www.nba.com/player/1629690/adam-mokoka,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629690.png,False
Jack Molinas,,6,Forward,6-6,200,Columbia,USA,1931-10-01T00:00:00,1 Years,1953 #3,https://www.nba.com/player/77624/HISTADD-jack-molinas,False,False,True,,True
Wayne Molis,,18,Forward,6-8,230,Lewis,USA,1943-04-17T00:00:00,1 Years,1965 #75,https://www.nba.com/player/77625/HISTADD-wayne-molis,False,False,True,,True
Sidney Moncrief,,4,Guard,6-4,180,Arkansas,USA,1957-09-21T00:00:00,11 Years,1979 #5,https://www.nba.com/player/77626/HISTADD-sidney-moncrief,False,False,True,,True
Chima Moneke,,,Forward,6-5,223,Cal-Davis,Nigeria,"December 24, 1995",1 Year,Undrafted,https://www.nba.com/player/1631320/tmp-chima-moneke,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631320.png,False
Eric Money,,14,Guard,6-0,170,Arizona,USA,1955-02-06T00:00:00,6 Years,1974 #33,https://www.nba.com/player/77627/HISTADD-eric-money,False,False,True,,True
Sergei Monia,,,Forward,6-8,220,CSKA Moscow,Russia,"April 15, 1983",1 Year,2004 R1 Pick 23,https://www.nba.com/player/2752/sergei-monia,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2752.png,False
Malik Monk,SAC,0,Guard,6-3,200,Kentucky,USA,"February 4, 1998",7 Years,2017 R1 Pick 11,https://www.nba.com/player/1628370/malik-monk,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Earl Monroe,,10,Guard,6-3,185,Winston-Salem State,USA,1944-11-21T00:00:00,13 Years,1967 #2,https://www.nba.com/player/600006/HISTADD-earl-monroe,False,False,True,,True
Greg Monroe,,15,Forward-Center,6-10,250,Georgetown,USA,"June 4, 1990",11 Years,2010 R1 Pick 7,https://www.nba.com/player/202328/greg-monroe,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202328.png,False
Rodney Monroe,,12,Guard,6-3,185,North Carolina State,USA,1968-04-16T00:00:00,1 Years,1991 #30,https://www.nba.com/player/77628/HISTADD-rodney-monroe,False,False,True,,True
Luis Montero,,,Guard,6-7,200,Westchester C.C.,Dominican Republic,"April 6, 1993",2 Years,Undrafted,https://www.nba.com/player/1626242/luis-montero,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626242.png,False
Howie Montgomery,,43,Forward,6-4,220,Texas-Pan American,USA,1940-08-22T00:00:00,1 Years,1962 #59,https://www.nba.com/player/77630/HISTADD-howie-montgomery,False,False,True,,True
Eric Montross,,00,Center,7-0,270,North Carolina,USA,"September 23, 1971",9 Years,1994 R1 Pick 9,https://www.nba.com/player/376/eric-montross,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/376.png,False
Moses Moody,GSW,4,Guard,6-5,211,Arkansas,USA,"May 31, 2002",3 Years,2021 R1 Pick 14,https://www.nba.com/player/1630541/moses-moody,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630541.png,False
Jamario Moon,,9,Forward,6-8,205,Meridian CC,USA,"June 13, 1980",6 Years,Undrafted,https://www.nba.com/player/200081/jamario-moon,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200081.png,False
Xavier Moon,,22,Guard,6-0,165,Morehead State,USA,"January 2, 1995",4 Years,Undrafted,https://www.nba.com/player/1629875/xavier-moon,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629875.png,False
Jim Mooney,,7,Forward,6-5,215,Villanova,USA,1930-07-08T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/77631/HISTADD-jim-mooney,False,False,True,,True
Matt Mooney,,,Guard,6-2,199,Texas Tech,USA,"February 7, 1995",2 Years,Undrafted,https://www.nba.com/player/1629760/matt-mooney,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629760.png,False
Andre Moore,,53,Forward,6-9,215,Loyola-Chicago,USA,1964-07-02T00:00:00,1 Years,1987 #31,https://www.nba.com/player/77632/HISTADD-andre-moore,False,False,True,,True
Ben Moore,,26,Forward,6-8,220,Southern Methodist,USA,"May 13, 1995",2 Years,Undrafted,https://www.nba.com/player/1628500/ben-moore,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628500.png,False
E'Twaun Moore,,55,Guard,6-3,191,Purdue,USA,,,,https://www.nba.com/player/202734/e'twaun-moore,False,False,True,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,False
Jackie Moore,,4-14,Forward,6-5,180,La Salle,USA,1932-09-24T00:00:00,3 Years,Undrafted #Undrafted,https://www.nba.com/player/77634/HISTADD-jackie-moore,False,False,True,,True
Johnny Moore,,00,Guard,6-1,175,Texas,USA,1958-03-03T00:00:00,9 Years,1979 #43,https://www.nba.com/player/77633/HISTADD-johnny-moore,False,False,True,,True
Lowes Moore,,13,Guard,6-1,170,West Virginia,USA,1957-05-05T00:00:00,3 Years,1980 #52,https://www.nba.com/player/77635/HISTADD-lowes-moore,False,False,True,,True
Mikki Moore,,31,Forward-Center,7-0,225,Nebraska,USA,"November 4, 1975",14 Years,Undrafted,https://www.nba.com/player/1630/mikki-moore,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630.png,False
Otto Moore,,34,Center,6-11,205,Texas-Pan American,USA,1946-08-27T00:00:00,9 Years,1968 #6,https://www.nba.com/player/77636/HISTADD-otto-moore,False,False,True,,True
Ron Moore,,53,Center,7-0,260,West Virginia State,USA,1962-01-16T00:00:00,1 Years,1987 #25,https://www.nba.com/player/77637/HISTADD-ron-moore,False,False,True,,True
Tazé Moore,,,Guard,6-5,195,Houston,USA,"June 29, 1998",1 Year,Undrafted,https://www.nba.com/player/1631386/taze-moore,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Tracy Moore,,,Guard,6-4,200,Tulsa,USA,"December 28, 1965",5 Years,Undrafted,https://www.nba.com/player/929/tracy-moore,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/929.png,False
Wendell Moore Jr.,CHA,9,Guard,6-5,215,Duke,USA,"September 18, 2001",2 Years,2022 R1 Pick 26,https://www.nba.com/player/1631111/wendell-moore,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1631111.png,False
Ja Morant,MEM,12,Guard,6-2,174,Murray State,USA,"August 10, 1999",5 Years,2019 R1 Pick 2,https://www.nba.com/player/1629630/ja-morant,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Eric Moreland,,15,Forward-Center,6-10,238,Oregon State,USA,"December 24, 1991",5 Years,Undrafted,https://www.nba.com/player/203961/eric-moreland,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203961.png,False
Jackie Moreland,,15,Forward,6-7,215,Louisiana Tech,USA,1938-03-11T00:00:00,5 Years,1960 #4,https://www.nba.com/player/77639/HISTADD-jackie-moreland,False,False,True,,True
Guy Morgan,,35,Guard,6-8,205,Wake Forest,USA,1960-08-23T00:00:00,1 Years,1982 #40,https://www.nba.com/player/77640/HISTADD-guy-morgan,False,False,True,,True
Juwan Morgan,,16,Forward,6-7,232,Indiana,USA,"April 17, 1997",4 Years,Undrafted,https://www.nba.com/player/1629752/juwan-morgan,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629752.png,False
Rex Morgan,,20,Guard,6-5,190,Jacksonville,USA,1948-10-27T00:00:00,2 Years,1970 #21,https://www.nba.com/player/77641/HISTADD-rex-morgan,False,False,True,,True
Elmo Morgenthaler,,17,Center,6-9,230,New Mexico Tech,USA,1922-08-03T00:00:00,2 Years,Undrafted #Undrafted,https://www.nba.com/player/77642/HISTADD-elmo-morgenthaler,False,False,True,,True
Darren Morningstar,,55,Center,6-10,235,Pittsburgh,USA,1969-04-22T00:00:00,1 Years,1992 #47,https://www.nba.com/player/77644/HISTADD-darren-morningstar,False,False,True,,True
Chris Morris,,34,Forward,6-8,228,Auburn,USA,"January 20, 1966",11 Years,1988 R1 Pick 4,https://www.nba.com/player/356/chris-morris,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/356.png,False
Darius Morris,,14,Guard,6-4,195,Michigan,USA,"January 3, 1991",5 Years,2011 R2 Pick 41,https://www.nba.com/player/202721/darius-morris,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202721.png,False
Isaiah Morris,,35,Forward,6-8,229,Arkansas,USA,1969-04-02T00:00:00,1 Years,1992 #37,https://www.nba.com/player/77647/HISTADD-isaiah-morris,False,False,True,,True
Jaylen Morris,,,Guard,6-5,185,Molloy,USA,"September 19, 1995",3 Years,Undrafted,https://www.nba.com/player/1628537/jaylen-morris,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628537.png,False
Markieff Morris,LAL,88,Forward,6-9,245,Kansas,USA,"September 2, 1989",13 Years,2011 R1 Pick 13,https://www.nba.com/player/202693/markieff-morris,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Max Morris,,,Forward,6-2,195,Northwestern,USA,1925-03-14T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/77646/HISTADD-max-morris,False,False,True,,True
Monté Morris,PHX,23,Guard,6-2,183,Iowa State,USA,"June 27, 1995",7 Years,2017 R2 Pick 51,https://www.nba.com/player/1628420/monte-morris,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1628420.png,False
Randolph Morris,,33,Center,6-11,275,Kentucky,USA,"January 2, 1986",5 Years,Undrafted,https://www.nba.com/player/201043/randolph-morris,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201043.png,False
Terence Morris,,,,,,Maryland,USA,"January 11, 1979",3 Years,2001 R2 Pick 33,https://www.nba.com/player/2242/terence-morris,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2242.png,False
Marcus Morris Sr.,,24,Forward,6-8,218,Kansas,USA,"September 2, 1989",14 Years,2011 R1 Pick 14,https://www.nba.com/player/202694/marcus-morris,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202694.png,False
Adam Morrison,,6,Forward,6-8,205,Gonzaga,USA,"July 19, 1984",4 Years,2006 R1 Pick 3,https://www.nba.com/player/200747/adam-morrison,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200747.png,False
Dwight Morrison,,12,Forward,6-8,220,Idaho,USA,1932-04-26T00:00:00,3 Years,1954 #14,https://www.nba.com/player/77648/HISTADD-red-morrison,False,False,True,,True
Mike Morrison,,32,Guard,6-4,195,Loyola-Maryland,USA,1967-08-16T00:00:00,1 Years,1989 #51,https://www.nba.com/player/77649/HISTADD-mike-morrison,False,False,True,,True
Anthony Morrow,,11,Guard,6-5,210,Georgia Tech,USA,"September 27, 1985",10 Years,Undrafted,https://www.nba.com/player/201627/anthony-morrow,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201627.png,False
Dwayne Morton,,50,Guard,6-7,195,Louisville,USA,"August 10, 1971",1 Year,1994 R2 Pick 45,https://www.nba.com/player/132/dwayne-morton,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/132.png,False
John Morton,,23,Forward,6-3,180,Seton Hall,USA,"May 18, 1967",3 Years,1989 R1 Pick 25,https://www.nba.com/player/1972/john-morton,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1972.png,False
Richard Morton,,4,Forward,6-3,190,California State-Fullerton,USA,1966-02-02T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/77652/HISTADD-richard-morton,False,False,True,,True
Glenn Mosley,,34,Forward,6-8,195,Seton Hall,USA,1955-12-26T00:00:00,2 Years,1977 #20,https://www.nba.com/player/77653/HISTADD-glenn-mosley,False,False,True,,True
Perry Moss,,10,Guard,6-2,185,Northeastern,USA,1958-11-11T00:00:00,2 Years,1982 #69,https://www.nba.com/player/77654/HISTADD-perry-moss,False,False,True,,True
Lawrence Moten,,,Guard,6-5,185,Syracuse,USA,"March 25, 1972",3 Years,1995 R2 Pick 36,https://www.nba.com/player/734/lawrence-moten,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/734.png,False
Donatas Motiejunas,,28,Forward-Center,7-0,220,Lithuania,Lithuania,"September 20, 1990",7 Years,2011 R1 Pick 20,https://www.nba.com/player/202700/donatas-motiejunas,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202700.png,False
Johnathan Motley,,15,Forward,6-8,230,Baylor,USA,"May 4, 1995",4 Years,Undrafted,https://www.nba.com/player/1628405/johnathan-motley,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628405.png,False
Hanno Mottola,,13,Center-Forward,6-11,247,Utah,Finland,"September 9, 1976",2 Years,2000 R2 Pick 40,https://www.nba.com/player/2069/hanno-mottola,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2069.png,False
Arnett Moultrie,,5,Forward,6-10,240,Mississippi State,USA,"November 18, 1990",2 Years,2012 R1 Pick 27,https://www.nba.com/player/203102/arnett-moultrie,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203102.png,False
Alonzo Mourning,,33,Center,6-10,261,Georgetown,USA,"February 8, 1970",16 Years,1992 R1 Pick 2,https://www.nba.com/player/297/alonzo-mourning,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/297.png,False
Timofey Mozgov,,21,Center,7-1,275,Khimki,Russia,"July 16, 1986",10 Years,Undrafted,https://www.nba.com/player/202389/timofey-mozgov,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202389.png,False
Chuck Mrazovich,,,Forward,6-5,185,Eastern Kentucky,USA,1924-02-26,1 Years,1950,https://www.nba.com/player/77657/HISTADD-chuck-mrazovich,False,False,True,,True
Emmanuel Mudiay,,,Guard,6-3,200,Guangdong,Democratic Republic of the Congo,"March 5, 1996",7 Years,2015 R1 Pick 7,https://www.nba.com/player/1626144/emmanuel-mudiay,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626144.png,False
Erwin Mueller,,51,Forward,6-8,230,San Francisco,USA,1944-03-12T00:00:00,7 Years,1966 #20,https://www.nba.com/player/77658/HISTADD-erwin-mueller,False,False,True,,True
Shabazz Muhammad,,15,Guard-Forward,6-6,221,UCLA,USA,"November 13, 1992",6 Years,2013 R1 Pick 14,https://www.nba.com/player/203498/shabazz-muhammad,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Mychal Mulder,,12,Guard,6-3,195,Kentucky,Canada,"June 12, 1994",4 Years,Undrafted,https://www.nba.com/player/1628539/mychal-mulder,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Joe Mullaney,,17,Guard,6-0,165,Holy Cross,USA,1925-11-17,1 Years,1949,https://www.nba.com/player/77659/HISTADD-joe-mullaney,False,False,True,,True
Bob Mullens,,,Guard,6-1,175,Fordham,USA,1922-11-01T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/77660/HISTADD-bob-mullens,False,False,True,,True
Byron Mullens,,30,Center,7-0,275,Ohio State,USA,"February 14, 1989",5 Years,2009 R1 Pick 24,https://www.nba.com/player/201957/byron-mullens,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Chris Mullin,,17,Forward,,,St. John's (NY),USA,"July 30, 1963",16 Years,1985 R1 Pick 7,https://www.nba.com/player/904/chris-mullin,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Jeff Mullins,,23,Guard,6-4,190,Duke,USA,1942-03-18T00:00:00,12 Years,1964 #5,https://www.nba.com/player/77662/HISTADD-jeff-mullins,False,False,True,,True
Todd Mundt,,51,Center,7-0,255,Delta State,USA,"May 17, 1970",1 Year,Undrafted,https://www.nba.com/player/942/todd-mundt,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Xavier Munford,,0,Guard,6-4,173,Rhode Island,USA,"June 1, 1992",2 Years,2014,https://www.nba.com/player/204098/xavier-munford,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/204098.png,False
Chris Munk,,44,Forward,6-9,225,Southern California,USA,1967-08-05T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/77664/HISTADD-chris-munk,False,False,True,,True
George Munroe,,6,Guard,5-11,170,Dartmouth,USA,1922-01-05T00:00:00,2 Years,Undrafted #Undrafted,https://www.nba.com/player/77665/HISTADD-george-munroe,False,False,True,,True
Eric Murdock,,,Guard,6-1,190,Providence,USA,"June 14, 1968",9 Years,1991 R1 Pick 21,https://www.nba.com/player/785/eric-murdock,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Gheorghe Muresan,,77,Center,7-7,303,Pau Orthez,Romania,"February 14, 1971",7 Years,1993 R2 Pick 30,https://www.nba.com/player/49/gheorghe-muresan,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Ade Murkey,,,Guard,6-5,200,Denver,USA,"January 29, 1998",1 Year,Undrafted,https://www.nba.com/player/1630278/ade-murkey,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Allen Murphy,,20,Guard,6-4,190,Louisville,USA,1952-07-15T00:00:00,1 Years,1975 #35,https://www.nba.com/player/77668/HISTADD-allen-murphy,False,False,True,,True
Calvin Murphy,,23,Guard,5-9,165,Niagara,USA,1948-05-09T00:00:00,13 Years,1970 #18,https://www.nba.com/player/77669/HISTADD-calvin-murphy,False,False,True,,True
Dick Murphy,,5,Guard,6-1,175,Manhattan,USA,1921-03-10T00:00:00,1 Years,Undrafted #Undrafted,https://www.nba.com/player/77672/HISTADD-dick-murphy,False,False,True,,True
Erik Murphy,,33,Forward,6-10,230,Florida,Finland,"October 26, 1990",1 Year,2013 R2 Pick 49,https://www.nba.com/player/203513/erik-murphy,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203513.png,False
Jay Murphy,,42,Forward,6-9,220,Boston College,USA,1962-06-26T00:00:00,4 Years,1984 #31,https://www.nba.com/player/77670/HISTADD-jay-murphy,False,False,True,,True
John Murphy,,12,Forward,6-2,175,Simon Gratz HS (PA),USA,1924-09-13T00:00:00,1 Years,1975 #140,https://www.nba.com/player/77671/HISTADD-moe-murphy,False,False,True,,True
Kevin Murphy,,55,Guard,6-6,185,Tennessee Tech,USA,"March 6, 1990",2 Years,2012 R2 Pick 47,https://www.nba.com/player/203122/kevin-murphy,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
Ronnie Murphy,,34,Forward,6-5,225,Jacksonville,USA,1964-07-29T00:00:00,1 Years,1987 #17,https://www.nba.com/player/77673/HISTADD-ronnie-murphy,False,False,True,,True
Tod Murphy,,41,Center,6-9,220,California-Irvine,USA,1963-12-24T00:00:00,5 Years,1986 #53,https://www.nba.com/player/77674/HISTADD-tod-murphy,False,False,True,,True
Troy Murphy,,,Forward-Center,6-11,245,Notre Dame,USA,"May 2, 1980",12 Years,2001 R1 Pick 14,https://www.nba.com/player/2211/troy-murphy,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,False
