season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2021-22,1627863,Danuel House Jr.,Danuel,1610612762,UTA,Utah Jazz,22101187,2022-04-05T00:00:00,UTA vs. MEM,W,28.883333333333333,3,8,0.375,2,6,0.333,1,1,1.0,1,2,3,1,1,0,2,0,3,1,9,17,19.1,0,0,19.0,1,1,1,1,8816,12092,11062,15835,4334,3994,8533,10221,12877,1,6346,13666,12968,13245,8493,12287,702,1,17825,11915,12093,1837,13202,2151,131,12388,1,28:53,2021,2022
2021-22,201144,Mike Conley,Mike,1610612762,UTA,Utah Jazz,22101187,2022-04-05T00:00:00,UTA vs. MEM,W,33.56666666666667,5,11,0.455,2,4,0.5,1,2,0.5,1,5,6,8,5,1,0,1,2,3,13,1,30.2,0,0,31.0,1,1,1,1,4709,6861,6941,12256,4334,7950,3792,10221,7614,10631,6346,4619,5450,904,380,4518,8184,17438,11965,4544,8057,11173,6528,2151,131,5470,1,33:34,2021,2022
2021-22,203497,Rudy Gobert,Rudy,1610612762,UTA,Utah Jazz,22101165,2022-04-02T00:00:00,UTA @ GSW,L,37.53333333333333,5,9,0.556,0,2,0.0,4,7,0.571,5,15,20,1,2,2,0,1,3,9,14,3,43.5,1,0,39.0,1,13121,13121,13121,1640,6861,9508,7108,14232,13609,14232,2651,1382,10526,352,37,26,13245,4151,1427,8184,17438,17825,137,7184,9319,2029,1,131,2645,1,37:32,2021,2022
2021-22,1628378,Donovan Mitchell,Donovan,1610612762,UTA,Utah Jazz,22101165,2022-04-02T00:00:00,UTA @ GSW,L,32.733333333333334,8,19,0.421,4,10,0.4,6,7,0.857,0,3,3,3,1,2,0,0,2,4,26,-21,39.1,0,0,40.0,1,13121,13121,13121,5406,2352,1378,13958,993,700,7284,1140,1382,7061,13184,9837,12968,6215,8493,1427,8184,1,11965,2687,1420,25066,3123,2151,131,2406,1,32:44,2021,2022
2021-22,1627863,Danuel House Jr.,Danuel,1610612762,UTA,Utah Jazz,22101165,2022-04-02T00:00:00,UTA @ GSW,L,17.966666666666665,1,5,0.2,1,3,0.333,0,0,0.0,0,2,2,0,1,0,1,2,1,0,3,21,7.4,0,0,8.0,1,13121,13121,13121,17559,18993,16241,21224,8144,10639,8533,13659,14456,13659,13184,13666,16419,18990,8493,12287,2399,23744,5520,18239,19908,939,21146,2151,131,20309,1,17:58,2021,2022
2021-22,1626220,Royce O'Neale,Royce,1610612762,UTA,Utah Jazz,22101165,2022-04-02T00:00:00,UTA @ GSW,L,30.03333333333333,0,5,0.0,0,3,0.0,0,0,0.0,1,5,6,2,4,0,0,0,2,1,0,-25,6.2,0,0,8.0,1,13121,13121,13121,7797,22477,16241,22477,14232,10639,14232,13659,14456,13659,6346,4619,5450,9105,833,12287,8184,1,11965,11915,23122,25610,21817,2151,131,20309,1,30:02,2021,2022
2021-22,203903,Jordan Clarkson,Jordan,1610612762,UTA,Utah Jazz,22101165,2022-04-02T00:00:00,UTA @ GSW,L,27.566666666666663,5,13,0.385,2,8,0.25,2,2,1.0,2,1,3,2,2,0,0,1,3,1,14,0,18.6,0,0,21.0,1,13121,13121,13121,9870,6861,4902,15612,4334,1795,11214,6073,7614,1,3074,17946,12968,9105,4151,12287,8184,17438,17825,11915,7184,12132,13546,2151,131,11016,1,27:34,2021,2022
2021-22,202711,Bojan Bogdanović,Bojan,1610612762,UTA,Utah Jazz,22101165,2022-04-02T00:00:00,UTA @ GSW,L,31.416666666666668,6,15,0.4,2,7,0.286,3,5,0.6,0,3,3,2,2,2,0,0,3,3,17,-24,27.6,0,0,28.0,1,13121,13121,13121,6575,4963,3382,14448,4334,2729,10782,4143,2899,10300,13184,9837,12968,9105,4151,1427,8184,1,17825,4544,5033,25517,7871,2151,131,6905,1,31:25,2021,2022
2021-22,201144,Mike Conley,Mike,1610612762,UTA,Utah Jazz,22101165,2022-04-02T00:00:00,UTA @ GSW,L,35.7,10,18,0.556,5,11,0.455,1,1,1.0,2,3,5,8,0,1,0,1,3,2,26,13,47.0,0,0,46.0,1,13121,13121,13121,2918,1023,1762,7108,453,416,6633,10221,12877,1,3074,9837,7407,904,16136,4518,8184,17438,17825,7362,1420,3107,1410,2151,131,1258,1,35:42,2021,2022
2021-22,202355,Hassan Whiteside,Hassan,1610612762,UTA,Utah Jazz,22101165,2022-04-02T00:00:00,UTA @ GSW,L,10.466666666666669,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,0,2,2,-7,7.4,0,0,6.0,1,13121,13121,13121,22058,18993,21680,8341,14232,20469,14232,13659,14456,13659,6346,17946,16419,18990,16136,12287,2399,17438,1,7362,21059,18909,21146,2151,131,21603,1,10:28,2021,2022
