"player","team","number","position","height","weight","last_attended","country","profile_url"
"Matt
Ryan","","","F","6-6","215 lbs","Tennessee-Chattanooga","USA","https://www.nba.com/player/1630346/matt-ryan/"
"Domantas
Sabonis","SAC","11","F-C","6-10","240 lbs","Gonzaga","Lithuania","https://www.nba.com/player/1627734/domantas-sabonis/"
"Tidjane
Salaün","CHA","31","F","6-8","207 lbs","Cholet","France","https://www.nba.com/player/1642275/tidjane-salaun/"
"Adama
Sanogo","","","F","6-9","245 lbs","Connecticut","Mali","https://www.nba.com/player/1641766/adama-sanogo/"
"Gui
Santos","GSW","15","F","6-6","185 lbs","Minas","Brazil","https://www.nba.com/player/1630611/gui-santos/"
"Dario
Šarić","DEN","9","F-C","6-10","225 lbs","Anadolu Efes","Croatia","https://www.nba.com/player/203967/dario-saric/"
"Alex
Sarr","WAS","20","C","7-0","205 lbs","Perth","France","https://www.nba.com/player/1642259/alex-sarr/"
"Marcus
Sasser","DET","25","G","6-2","195 lbs","Houston","USA","https://www.nba.com/player/1631204/marcus-sasser/"
"Baylor
Scheierman","BOS","55","G","6-6","205 lbs","Creighton","USA","https://www.nba.com/player/1631248/baylor-scheierman/"
"Dennis
Schröder","DET","17","G","6-1","175 lbs","Braunschweig","Germany","https://www.nba.com/player/203471/dennis-schroder/"
"Alperen
Sengun","HOU","28","C","6-11","243 lbs","Besiktas","Turkey","https://www.nba.com/player/1630578/alperen-sengun/"
"Brice
Sensabaugh","UTA","28","F","6-5","235 lbs","Ohio State","USA","https://www.nba.com/player/1641729/brice-sensabaugh/"
"Collin
Sexton","UTA","2","G","6-3","190 lbs","Alabama","USA","https://www.nba.com/player/1629012/collin-sexton/"
"Landry
Shamet","NYK","44","G","6-4","190 lbs","Wichita State","USA","https://www.nba.com/player/1629013/landry-shamet/"
"Terrence
Shannon Jr.","MIN","00","G-F","6-6","215 lbs","Illinois","USA","https://www.nba.com/player/1630545/terrence-shannon-jr/"
"Day'Ron
Sharpe","BKN","20","C","6-9","265 lbs","North Carolina","USA","https://www.nba.com/player/1630549/dayron-sharpe/"
"Shaedon
Sharpe","POR","17","G","6-5","208 lbs","Kentucky","Canada","https://www.nba.com/player/1631101/shaedon-sharpe/"
"Jamal
Shead","TOR","23","G","6-1","200 lbs","Houston","USA","https://www.nba.com/player/1642347/jamal-shead/"
"Ben
Sheppard","IND","26","G","6-6","190 lbs","Belmont","USA","https://www.nba.com/player/1641767/ben-sheppard/"
"Reed
Sheppard","HOU","15","G","6-2","185 lbs","Kentucky","USA","https://www.nba.com/player/1642263/reed-sheppard/"
"Pascal
Siakam","IND","43","F","6-8","245 lbs","New Mexico State","Cameroon","https://www.nba.com/player/1627783/pascal-siakam/"
"Ben
Simmons","LAC","25","G-F","6-10","240 lbs","Louisiana State","Australia","https://www.nba.com/player/1627732/ben-simmons/"
"Anfernee
Simons","POR","1","G","6-3","200 lbs","Edgewater HS (FL)","USA","https://www.nba.com/player/1629014/anfernee-simons/"
"KJ
Simpson","CHA","25","G","6-0","189 lbs","Colorado","USA","https://www.nba.com/player/1642354/kj-simpson/"
"Jaylen
Sims","","","G","6-6","210 lbs","UNC-Wilmington","USA","https://www.nba.com/player/1631301/jaylen-sims/"
"Jericho
Sims","MIL","00","C","6-10","250 lbs","Texas","USA","https://www.nba.com/player/1630579/jericho-sims/"
"Marcus
Smart","WAS","36","G","6-3","220 lbs","Oklahoma State","USA","https://www.nba.com/player/203935/marcus-smart/"
"Dru
Smith","MIA","12","G","6-2","203 lbs","Missouri","USA","https://www.nba.com/player/1630696/dru-smith/"
"Jalen
Smith","CHI","7","F-C","6-9","215 lbs","Maryland","USA","https://www.nba.com/player/1630188/jalen-smith/"
"Tolu
Smith","DET","35","F","6-11","","Mississippi State","USA","https://www.nba.com/player/1642449/tolu-smith/"
"Tyler
Smith","MIL","21","F","6-9","224 lbs","NBA G League Ignite","USA","https://www.nba.com/player/1641890/tyler-smith/"
"Jabari
Smith Jr.","HOU","10","F","6-10","220 lbs","Auburn","USA","https://www.nba.com/player/1631095/jabari-smith-jr/"
"Nick
Smith Jr.","CHA","8","G","6-2","185 lbs","Arkansas","USA","https://www.nba.com/player/1641733/nick-smith-jr/"
"Jeremy
Sochan","SAS","10","F","6-8","230 lbs","Baylor","Poland","https://www.nba.com/player/1631110/jeremy-sochan/"
"Cam
Spencer","MEM","24","G","6-4","205 lbs","Connecticut","USA","https://www.nba.com/player/1642285/cam-spencer/"
"Pat
Spencer","GSW","61","G","6-3","205 lbs","Northwestern","USA","https://www.nba.com/player/1630311/pat-spencer/"
"Jaden
Springer","UTA","11","G","6-4","202 lbs","Tennessee","USA","https://www.nba.com/player/1630531/jaden-springer/"
"Isaiah
Stevens","MIA","","G","6-0","185 lbs","Colorado State","USA","https://www.nba.com/player/1641815/isaiah-stevens/"
"Lamar
Stevens","MEM","8","F","6-7","230 lbs","Penn State","USA","https://www.nba.com/player/1630205/lamar-stevens/"
"Isaiah
Stewart","DET","28","F-C","6-8","250 lbs","Washington","USA","https://www.nba.com/player/1630191/isaiah-stewart/"
"Julian
Strawther","DEN","3","G","6-6","205 lbs","Gonzaga","USA","https://www.nba.com/player/1631124/julian-strawther/"
"Max
Strus","CLE","1","G-F","6-5","215 lbs","DePaul","USA","https://www.nba.com/player/1629622/max-strus/"
"Jalen
Suggs","ORL","4","G","6-5","205 lbs","Gonzaga","USA","https://www.nba.com/player/1630591/jalen-suggs/"
"Cole
Swider","","","F","6-8","220 lbs","Syracuse","USA","https://www.nba.com/player/1631306/cole-swider/"
"Jae'Sean
Tate","HOU","8","F","6-4","230 lbs","Ohio State","USA","https://www.nba.com/player/1630256/jaesean-tate/"
"Jayson
Tatum","BOS","0","F-G","6-8","210 lbs","Duke","USA","https://www.nba.com/player/1628369/jayson-tatum/"
"Terry
Taylor","","","F","6-4","230 lbs","Austin Peay","USA","https://www.nba.com/player/1630678/terry-taylor/"
"Garrett
Temple","TOR","17","G-F","6-5","195 lbs","Louisiana State","USA","https://www.nba.com/player/202066/garrett-temple/"
"Dalen
Terry","CHI","25","F","6-7","195 lbs","Arizona","USA","https://www.nba.com/player/1631207/dalen-terry/"
"Daniel
Theis","","","F-C","6-8","245 lbs","Brose Bamberg","Germany","https://www.nba.com/player/1628464/daniel-theis/"
"Cam
Thomas","BKN","24","G","6-3","210 lbs","Louisiana State","Japan","https://www.nba.com/player/1630560/cam-thomas/"
"Amen
Thompson","HOU","1","G-F","6-7","200 lbs","Overtime Elite","USA","https://www.nba.com/player/1641708/amen-thompson/"
"Ausar
Thompson","DET","9","G-F","6-6","205 lbs","Overtime Elite","USA","https://www.nba.com/player/1641709/ausar-thompson/"
"Ethan
Thompson","ORL","55","G","6-5","195 lbs","Oregon State","Puerto Rico","https://www.nba.com/player/1630679/ethan-thompson/"
"Klay
Thompson","DAL","31","G","6-5","220 lbs","Washington State","USA","https://www.nba.com/player/202691/klay-thompson/"
"Tristan
Thompson","CLE","13","C-F","6-9","254 lbs","Texas-Austin","Canada","https://www.nba.com/player/202684/tristan-thompson/"
"JT
Thor","WAS","21","F","6-9","203 lbs","Auburn","USA","https://www.nba.com/player/1630550/jt-thor/"
"Matisse
Thybulle","POR","4","G-F","6-5","201 lbs","Washington","USA","https://www.nba.com/player/1629680/matisse-thybulle/"
"Xavier
Tillman","BOS","26","F","6-7","245 lbs","Michigan State","USA","https://www.nba.com/player/1630214/xavier-tillman/"
"Drew
Timme","BKN","26","F","6-10","235 lbs","Gonzaga","USA","https://www.nba.com/player/1631166/drew-timme/"
"Nae'Qwan
Tomlin","CLE","30","F","6-10","210 lbs","Memphis","USA","https://www.nba.com/player/1641772/naeqwan-tomlin/"
"Nikola
Topić","OKC","44","G","6-6","200 lbs","Crvena zvezda","Serbia","https://www.nba.com/player/1642260/nikola-topic/"
"Jacob
Toppin","ATL","00","F","6-8","200 lbs","Kentucky","USA","https://www.nba.com/player/1631210/jacob-toppin/"
"Obi
Toppin","IND","1","F","6-9","220 lbs","Dayton","USA","https://www.nba.com/player/1630167/obi-toppin/"
"Karl-Anthony
Towns","NYK","32","C-F","7-0","248 lbs","Kentucky","USA","https://www.nba.com/player/1626157/karl-anthony-towns/"
"Armel
Traoré","","","F","6-9","245 lbs","ADA Blois","France","https://www.nba.com/player/1642422/armel-traore/"
"Luke
Travers","CLE","33","F","6-7","207 lbs","Rockingham Flames (Aus.)","Australia","https://www.nba.com/player/1631247/luke-travers/"
"Gary
Trent Jr.","MIL","5","G","6-5","204 lbs","Duke","USA","https://www.nba.com/player/1629018/gary-trent-jr/"
"Oscar
Tshiebwe","UTA","34","F-C","6-8","255 lbs","Kentucky","DRC","https://www.nba.com/player/1631131/oscar-tshiebwe/"
"P.J.
Tucker","NYK","","F","6-5","245 lbs","Texas","USA","https://www.nba.com/player/200782/pj-tucker/"
"Myles
Turner","IND","33","C-F","6-11","250 lbs","Texas","USA","https://www.nba.com/player/1626167/myles-turner/"
"Hunter
Tyson","DEN","5","F","6-8","215 lbs","Clemson","USA","https://www.nba.com/player/1641816/hunter-tyson/"
"Jaylon
Tyson","CLE","24","G-F","6-6","215 lbs","California","USA","https://www.nba.com/player/1642281/jaylon-tyson/"
"Stanley
Umude","MIL","17","G","6-6","210 lbs","Arkansas","USA","https://www.nba.com/player/1630649/stanley-umude/"
"Jonas
Valančiūnas","SAC","17","C","6-11","265 lbs","Lietuvos rytas Vilnius","Lithuania","https://www.nba.com/player/202685/jonas-valanciunas/"
"Jarred
Vanderbilt","LAL","2","F","6-8","214 lbs","Kentucky","USA","https://www.nba.com/player/1629020/jarred-vanderbilt/"
"Fred
VanVleet","HOU","5","G","6-0","197 lbs","Wichita State","USA","https://www.nba.com/player/1627832/fred-vanvleet/"
"Devin
Vassell","SAS","24","G-F","6-5","200 lbs","Florida State","USA","https://www.nba.com/player/1630170/devin-vassell/"
"Gabe
Vincent","LAL","7","G","6-2","200 lbs","California-Santa Barbara","USA","https://www.nba.com/player/1629216/gabe-vincent/"
"Nikola
Vučević","CHI","9","C","6-10","260 lbs","Southern California","Montenegro","https://www.nba.com/player/202696/nikola-vucevic/"
"Tristan
Vukcevic","WAS","00","F","7-0","220 lbs","Real Madrid","Italy","https://www.nba.com/player/1641774/tristan-vukcevic/"
"Dean
Wade","CLE","32","F-C","6-9","228 lbs","Kansas State","USA","https://www.nba.com/player/1629731/dean-wade/"
"Franz
Wagner","ORL","22","F","6-10","220 lbs","Michigan","Germany","https://www.nba.com/player/1630532/franz-wagner/"
"Moritz
Wagner","ORL","21","F-C","6-11","245 lbs","Michigan","Germany","https://www.nba.com/player/1629021/moritz-wagner/"
"Jabari
Walker","POR","34","F","6-7","237 lbs","Colorado","USA","https://www.nba.com/player/1631133/jabari-walker/"
"Jarace
Walker","IND","5","F","6-7","235 lbs","Houston","USA","https://www.nba.com/player/1641716/jarace-walker/"
"Lonnie
Walker IV","PHI","16","G-F","6-4","204 lbs","Miami","USA","https://www.nba.com/player/1629022/lonnie-walker-iv/"
"Cason
Wallace","OKC","22","G","6-3","195 lbs","Kentucky","USA","https://www.nba.com/player/1641717/cason-wallace/"
"Keaton
Wallace","ATL","2","G","6-3","185 lbs","Texas-San Antonio","USA","https://www.nba.com/player/1630811/keaton-wallace/"
"Jordan
Walsh","BOS","27","G","6-6","205 lbs","Arkansas","USA","https://www.nba.com/player/1641775/jordan-walsh/"
"Ja'Kobe
Walter","TOR","14","G","6-5","180 lbs","Baylor","USA","https://www.nba.com/player/1642266/jakobe-walter/"
"Kel'el
Ware","MIA","7","C","7-0","230 lbs","Indiana","USA","https://www.nba.com/player/1642276/kelel-ware/"
"P.J.
Washington","DAL","25","F","6-6","230 lbs","Kentucky","USA","https://www.nba.com/player/1629023/pj-washington/"
"TyTy
Washington Jr.","PHX","14","G","6-3","195 lbs","Kentucky","USA","https://www.nba.com/player/1631102/tyty-washington-jr/"
"Lindy
Waters III","DET","43","F","6-6","210 lbs","Oklahoma State","USA","https://www.nba.com/player/1630322/lindy-waters-iii/"
"Trendon
Watford","BKN","9","G-F","6-8","237 lbs","Louisiana State","USA","https://www.nba.com/player/1630570/trendon-watford/"
"Anton
Watson","NYK","28","F","6-8","225 lbs","Gonzaga","USA","https://www.nba.com/player/1641817/anton-watson/"
"Peyton
Watson","DEN","8","G","6-7","200 lbs","UCLA","USA","https://www.nba.com/player/1631212/peyton-watson/"
"Jaylen
Wells","MEM","0","F","6-8","","Washington State","USA","https://www.nba.com/player/1642377/jaylen-wells/"
"Victor
Wembanyama","SAS","1","F-C","7-3","235 lbs","Metropolitans 92","France","https://www.nba.com/player/1641705/victor-wembanyama/"
"Blake
Wesley","SAS","14","G","6-3","185 lbs","Notre Dame","USA","https://www.nba.com/player/1631104/blake-wesley/"
"Russell
Westbrook","DEN","4","G","6-4","200 lbs","UCLA","USA","https://www.nba.com/player/201566/russell-westbrook/"
"Phillip
Wheeler","","","F","6-8","185 lbs","","USA","https://www.nba.com/player/1630762/phillip-wheeler/"
"Coby
White","CHI","0","G","6-5","195 lbs","North Carolina","USA","https://www.nba.com/player/1629632/coby-white/"
"Derrick
White","BOS","9","G","6-4","190 lbs","Colorado","USA","https://www.nba.com/player/1628401/derrick-white/"
"Dariq
Whitehead","BKN","0","G-F","6-6","220 lbs","Duke","USA","https://www.nba.com/player/1641727/dariq-whitehead/"
"Cam
Whitmore","HOU","7","F","6-7","230 lbs","Villanova","USA","https://www.nba.com/player/1641715/cam-whitmore/"
"Aaron
Wiggins","OKC","21","G","6-5","190 lbs","Maryland","USA","https://www.nba.com/player/1630598/aaron-wiggins/"
"Andrew
Wiggins","MIA","22","F","6-7","197 lbs","Kansas","Canada","https://www.nba.com/player/203952/andrew-wiggins/"
"Alondes
Williams","","","G","6-4","210 lbs","Wake Forest","USA","https://www.nba.com/player/1631214/alondes-williams/"
"Brandon
Williams","DAL","10","G","6-1","190 lbs","Arizona","USA","https://www.nba.com/player/1630314/brandon-williams/"
"Cody
Williams","UTA","5","F","6-7","190 lbs","Colorado","USA","https://www.nba.com/player/1642262/cody-williams/"
"Grant
Williams","CHA","2","F","6-6","236 lbs","Tennessee","USA","https://www.nba.com/player/1629684/grant-williams/"
"Jalen
Williams","OKC","8","G-F","6-5","211 lbs","Santa Clara","USA","https://www.nba.com/player/1631114/jalen-williams/"
"Jaylin
Williams","OKC","6","F","6-9","240 lbs","Arkansas","USA","https://www.nba.com/player/1631119/jaylin-williams/"
"Kenrich
Williams","OKC","34","G-F","6-6","210 lbs","TCU","USA","https://www.nba.com/player/1629026/kenrich-williams/"
"Mark
Williams","CHA","5","C","7-0","240 lbs","Duke","USA","https://www.nba.com/player/1631109/mark-williams/"
"Nate
Williams","HOU","19","G","6-5","205 lbs","Buffalo","USA","https://www.nba.com/player/1631466/nate-williams/"
"Patrick
Williams","CHI","44","F","6-7","215 lbs","Florida State","USA","https://www.nba.com/player/1630172/patrick-williams/"
"Ziaire
Williams","BKN","8","F","6-9","185 lbs","Stanford","USA","https://www.nba.com/player/1630533/ziaire-williams/"
"Robert
Williams III","POR","35","C-F","6-9","249 lbs","Texas A&M","USA","https://www.nba.com/player/1629057/robert-williams-iii/"
"Vince
Williams Jr.","MEM","5","G","6-4","205 lbs","Virginia Commonwealth","USA","https://www.nba.com/player/1631246/vince-williams-jr/"
"Zion
Williamson","NOP","1","F","6-6","284 lbs","Duke","USA","https://www.nba.com/player/1629627/zion-williamson/"
"Jalen
Wilson","BKN","22","F","6-6","220 lbs","Kansas","USA","https://www.nba.com/player/1630592/jalen-wilson/"
"James
Wiseman","","","C","6-11","240 lbs","Memphis","USA","https://www.nba.com/player/1630164/james-wiseman/"
"Isaiah
Wong","","","G","6-3","185 lbs","Miami","USA","https://www.nba.com/player/1631209/isaiah-wong/"
"Delon
Wright","NYK","0","G","6-5","185 lbs","Utah","USA","https://www.nba.com/player/1626153/delon-wright/"
"Guerschon
Yabusele","PHI","28","F","6-8","265 lbs","Rouen, France","France","https://www.nba.com/player/1627824/guerschon-yabusele/"
"Cui
Yongxi","","","F","6-5","190 lbs","Guangzhou Loong Lions","China","https://www.nba.com/player/1642385/cui-yongxi/"
"Jahmir
Young","CHI","11","G","6-1","185 lbs","Maryland","USA","https://www.nba.com/player/1642443/jahmir-young/"
"Trae
Young","ATL","11","G","6-1","164 lbs","Oklahoma","USA","https://www.nba.com/player/1629027/trae-young/"
"Ivica
Zubac","LAC","40","C","7-0","240 lbs","Mega Basket","Croatia","https://www.nba.com/player/1627826/ivica-zubac/"
