PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
"Johnny
Furphy",IND,12,G,6-9,200 lbs,Kansas,Australia
"Billy
Gabor",PHI,7,G,5-11,170 lbs,Syracuse,USA
"Wenyen
Gabriel",MEM,35,F,6-9,205 lbs,Kentucky,South Sudan
"Dan
Gadzuric",MIL,50,C,6-11,240 lbs,UCLA,Netherlands
"Tony
Gaffney",MEM,24,F,6-8,205 lbs,Massachusetts,USA
"Daniel
Gafford",DAL,21,F-C,6-10,265 lbs,Arkansas,USA
"Deng
Gai",PHI,35,F,6-9,250 lbs,Fairfield,South Sudan
"Elmer R.
Gainer",WAT,,,,,DePaul,USA
"Corey
Gaines",BKN,5,G,6-3,195 lbs,Loyola-Marymount,USA
"Reece
Gaines",ORL,34,G,6-6,205 lbs,Louisville,USA
"Sundiata
Gaines",BKN,1,G,6-1,200 lbs,Georgia,USA
"Mike
Gale",SAS,12,G,6-4,185 lbs,Elizabeth City State,USA
"Chad
Gallagher",UTA,55,C,6-10,255 lbs,Creighton,USA
"Harry
Gallatin",NYK,10,F,6-6,210 lbs,Truman State,USA
"Danilo
Gallinari",MIL,12,F,6-10,236 lbs,Olimpia Milano,Italy
"Jaylin
Galloway",MIL,,F,6-6,190 lbs,Sydney Kings,Australia
"Langston
Galloway",IND,2,G,6-1,200 lbs,St. Joseph's (PA),USA
"Dave
Gambee",PHI,20,F,6-6,215 lbs,Oregon State,USA
"Kevin
Gamble",BOS,40,G-F,6-6,225 lbs,Iowa,USA
"Bob
Gantt",WAS,,F,6-4,205 lbs,Duke,USA
"Jorge
Garbajosa",TOR,15,F,6-9,245 lbs,Malaga,Spain
"Ruben
Garces",PHX,,F,,,Providence,USA
"Alex
Garcia",NOP,10,G-F,6-3,195 lbs,Ribeirao Preto,Brazil
"Francisco
Garcia",SAC,32,G-F,6-7,195 lbs,Louisville,Dominican Republic
"Earl
Gardner",LAL,14,F,6-3,195 lbs,DePauw,USA
"Thomas
Gardner",ATL,3,G,6-5,225 lbs,Missouri,USA
"Vern
Gardner",GSW,12,C,6-5,200 lbs,Utah,USA
"Jack
Garfinkel",BOS,21,G,6-0,190 lbs,St. John's (NY),USA
"Patricio
Garino",ORL,29,G-F,6-6,203 lbs,George Washington,Argentina
"Darius
Garland",CLE,10,G,6-1,192 lbs,Vanderbilt,USA
"Gary
Garland",DEN,24,G,6-4,180 lbs,DePaul,USA
"Winston
Garland",GSW,22,G,6-2,170 lbs,Missouri State,USA
"Dick
Garmaker",LAL,17,G,6-3,200 lbs,Minnesota,USA
"Chris
Garner",TOR,2,G,5-10,156 lbs,Memphis,USA
"Bill
Garnett",DAL,20,F,6-9,225 lbs,Wyoming,USA
"Kevin
Garnett",MIN,21,F,6-11,240 lbs,Farragut Academy HS (IL),USA
"Marlon
Garnett",BOS,20,G,6-2,186 lbs,Santa Clara,USA
"Billy
Garrett",NYK,3,G-F,6-6,215 lbs,DePaul,USA
"Calvin
Garrett",HOU,0,F,6-7,190 lbs,Oral Roberts,USA
"Dean
Garrett",MIN,22,C,6-11,250 lbs,Indiana,USA
"Diante
Garrett",UTA,8,G,6-4,190 lbs,Iowa State,USA
"Eldo
Garrett",LAC,14,G,6-3,185 lbs,Southern Illinois,USA
"Marcus
Garrett",CHA,0,G,6-5,205 lbs,Kansas,USA
"Rowland
Garrett",CHI,24,F,6-6,210 lbs,Florida State,USA
"Tom
Garrick",LAC,5,G,6-2,185 lbs,Rhode Island,USA
"John
Garris",CLE,55,F,6-8,205 lbs,Boston College,USA
"Kiwane
Garris",DEN,3,G,6-2,183 lbs,Illinois,USA
"Pat
Garrity",ORL,8,F,6-9,238 lbs,Notre Dame,USA
"Usman
Garuba",GSW,12,F,6-8,229 lbs,Real Madrid,Spain
"Jim
Garvin",LAC,30,F,6-7,200 lbs,Boston University,USA
"Luka
Garza",MIN,55,C,6-10,243 lbs,Iowa,USA
"Marc
Gasol",MEM,14,C,6-11,255 lbs,FC Barcelona,Spain
"Pau
Gasol",LAL,16,C-F,7-0,250 lbs,FC Barcelona,Spain
"Frank
Gates",AND,,G,6-0,160 lbs,Sam Houston State,USA
"Kaiser
Gates",NOP,12,F,6-7,225 lbs,Xavier,USA
"Chris
Gatling",GSW,32,C-F,6-10,230 lbs,Old Dominion,USA
"Kenny
Gattison",CHA,44,F,6-8,225 lbs,Old Dominion,USA
"Rudy
Gay",GSW,22,F-G,6-8,250 lbs,Connecticut,USA
"Ed
Gayda",ATL,10,G,6-4,210 lbs,Washington State,USA
"Andrew
Gaze",SAS,4,F,6-7,205 lbs,Seton Hall,USA
"Michael
Gbinije",DET,9,G-F,6-7,200 lbs,Syracuse,USA
"Reggie
Geary",SAS,4,G,6-2,187 lbs,Arizona,USA
"Alonzo
Gee",CLE,15,F,6-6,225 lbs,Alabama,USA
"Matt
Geiger",CHA,52,C,7-1,248 lbs,Georgia Tech,USA
"Mickael
Gelabale",OKC,15,F,6-7,215 lbs,Real Madrid,France
"Devean
George",LAL,19,F,6-8,235 lbs,Augsburg,USA
"Jack
George",GSW,5,G,6-3,190 lbs,La Salle,USA
"Keyonte
George",UTA,3,G,6-4,185 lbs,Baylor,USA
"Kyshawn
George",WAS,18,F,6-8,200 lbs,Miami,Switzerland
"Paul
George",PHI,8,F,6-8,220 lbs,Fresno State,USA
"Tate
George",BKN,12,G,6-5,190 lbs,Connecticut,USA
"Marcus
Georges-Hunt",MIN,13,G,6-5,226 lbs,Georgia Tech,USA
"Gus
Gerard",SAC,22,F,6-8,200 lbs,Virginia,USA
"Derrick
Gervin",BKN,30,F,6-8,200 lbs,Texas-San Antonio,USA
"George
Gervin",SAS,44,G,6-7,180 lbs,Eastern Michigan,USA
"Gorham
Getchell",PIT,,C,6-4,205 lbs,Temple,USA
"John
Gianelli",NYK,40,C,6-10,220 lbs,Pacific,USA
"Dick
Gibbs",LAC,21,F,6-5,210 lbs,Texas-El Paso,USA
"Daniel
Gibson",CLE,1,G,6-2,200 lbs,Texas,USA
"Dee
Gibson",ATL,18,G,5-11,175 lbs,Western Kentucky,USA
"Jonathan
Gibson",DAL,3,G,6-2,185 lbs,New Mexico State,USA
"Mel
Gibson",LAL,15,G,6-3,180 lbs,Western Carolina,USA
"Mike
Gibson",DET,35,F,6-10,205 lbs,South Carolina Upstate,USA
"Taj
Gibson",CHA,67,F,6-9,232 lbs,Southern California,USA
"Ward
Gibson",WAT,,,,,Creighton,USA
"J.R.
Giddens",BOS,4,G,6-5,215 lbs,New Mexico,USA
"Josh
Giddey",CHI,3,G,6-8,216 lbs,NBA Global Academy,Australia
"Trey
Gilder",MEM,2,F,6-9,205 lbs,Northwestern State,USA
"Harry
Giles III",SAC,20,F-C,6-10,240 lbs,Duke,USA
"Shai
Gilgeous-Alexander",OKC,2,G,6-6,195 lbs,Kentucky,Canada
"Anthony
Gill",WAS,16,F,6-8,230 lbs,Virginia,USA
"Eddie
Gill",IND,4,G,6-0,190 lbs,Weber State,USA
"Kendall
Gill",BKN,13,G,6-5,216 lbs,Illinois,USA
"Ben
Gillery",SAC,50,C,7-0,235 lbs,Georgetown,USA
"Collin
Gillespie",PHX,12,G,6-1,195 lbs,Villanova,USA
"Freddie
Gillespie",ORL,,F,6-9,245 lbs,Baylor,USA
"Gene
Gillette",WAS,,,,,Saint Mary's,USA
"Armen
Gilliam",BKN,5,F,6-9,260 lbs,UNLV,USA
"Herm
Gilliam",ATL,3,G,6-3,190 lbs,Purdue,USA
"Artis
Gilmore",CHI,53,C,7-2,240 lbs,Jacksonville,USA
"Walt
Gilmore",POR,48,F,6-6,225 lbs,Fort Valley State,USA
"Chuck
Gilmur",CHS,,F,6-4,225 lbs,Washington,USA
"Jacob
Gilyard",CLE,14,G,5-8,160 lbs,Richmond,USA
"Manu
Ginobili",SAS,20,G,6-6,205 lbs,Virtus Bologna,Argentina
"Gordan
Giricek",UTA,2,G,6-6,220 lbs,CSKA Moscow,Croatia
"Jack
Givens",ATL,21,F,6-5,205 lbs,Kentucky,USA
"Mickell
Gladness",GSW,32,C,6-11,220 lbs,Alabama A&M,USA
"George
Glamack",JET,,C,6-6,225 lbs,North Carolina,USA
"Gerald
Glass",MIN,25,F,6-5,221 lbs,Mississippi,USA
"Mike
Glenn",ATL,10,G,6-2,175 lbs,Southern Illinois,USA
"Norman
Glick",LAL,20,F,6-6,190 lbs,Loyola-Marymount,USA
"Georgi
Glouchkov",PHX,16,F,6-8,235 lbs,Akademik Varna,Bulgaria
"Clarence
Glover",BOS,28,F,6-8,210 lbs,Western Kentucky,USA
"Dion
Glover",ATL,22,G,6-5,225 lbs,Georgia Tech,USA
"Andreas
Glyniadakis",OKC,35,C,7-1,280 lbs,AEK Athens,Greece
"Mike
Gminski",BKN,43,C,6-11,250 lbs,Duke,USA
"Rudy
Gobert",MIN,27,C,7-1,258 lbs,Cholet,France
"Dan
Godfread",MIN,35,F,6-10,250 lbs,Evansville,USA
"Tom
Gola",GSW,6,G,6-6,205 lbs,La Salle,USA
"Ben
Goldfaden",WAS,,F,6-1,185 lbs,George Washington,USA
"Anthony
Goldwire",DEN,5,G,6-2,182 lbs,Houston,USA
"Ryan
Gomes",MIN,15,F,6-7,245 lbs,Providence,USA
"Glen
Gondrezick",DEN,22,F,6-6,218 lbs,UNLV,USA
"Grant
Gondrezick",PHX,3,G,6-5,205 lbs,Pepperdine,USA
"Drew
Gooden",CLE,90,F,6-10,250 lbs,Kansas,USA
"Gail
Goodrich",LAL,25,G,6-1,170 lbs,UCLA,USA
"Steve
Goodrich",CHI,30,C,6-10,220 lbs,Princeton,USA
"Archie
Goodwin",PHX,10,G,6-5,205 lbs,Kentucky,USA
"Brandon
Goodwin",CLE,00,G,6-0,180 lbs,Florida Gulf Coast,USA
"Jordan
Goodwin",LAL,30,G,6-5,215 lbs,St. Louis,USA
"Wilfred
Goodwin",PRO,,F,6-2,203 lbs,St John's Prep HS (NY),USA
"Aaron
Gordon",DEN,32,F,6-8,235 lbs,Arizona,USA
"Ben
Gordon",CHI,7,G,6-3,205 lbs,Connecticut,USA
"Drew
Gordon",PHI,30,C-F,6-9,245 lbs,New Mexico,USA
"Eric
Gordon",PHI,23,G,6-3,215 lbs,Indiana,USA
"Lancaster
Gordon",LAC,4,G,6-3,185 lbs,Louisville,USA
"Paul
Gordon",BAL,,F,6-3,185 lbs,Notre Dame,USA
"Marcin
Gortat",WAS,13,C,6-11,240 lbs,RheinEnergie Cologne,Poland
"Jazian
Gortman",DAL,00,G,6-2,184 lbs,Overtime Elite,USA
"Leo
Gottlieb",NYK,9,G,5-11,180 lbs,DeWitt Clinton HS (NY),USA
"Andrew
Goudelock",LAL,0,G,6-3,200 lbs,Charleston,USA
"Bato
Govedarica",PHI,14,G,5-11,185 lbs,DePaul,USA
"Joe
Graboski",GSW,23,F,6-8,195 lbs,Tuley HS (IL),USA
"Ricky
Grace",ATL,15,G,6-1,180 lbs,Oklahoma,USA
"Devonte'
Graham",POR,4,G,6-1,195 lbs,Kansas,USA
"Greg
Graham",PHI,21,G,6-4,182 lbs,Indiana,USA
"Joey
Graham",TOR,12,F,6-7,230 lbs,Oklahoma State,USA
"Mal
Graham",BOS,11,G,6-1,185 lbs,New York University,USA
"Orlando
Graham",GSW,44,F,6-8,220 lbs,Auburn-Montgomery,USA
"Paul
Graham",ATL,25,G,6-6,200 lbs,Ohio,USA
"Stephen
Graham",IND,26,G-F,6-6,215 lbs,Oklahoma State,USA
"Treveon
Graham",CHA,2,G-F,6-5,219 lbs,Va Commonwealth,USA
"Jim
Grandholm",DAL,50,C,7-0,235 lbs,South Florida,USA
"Ronnie
Grandison",BOS,20,F,6-6,220 lbs,New Orleans,USA
"Danny
Granger",IND,22,F-G,6-9,222 lbs,New Mexico,USA
"Stewart
Granger",CLE,11,G,6-3,190 lbs,Villanova,USA
"Brian
Grant",MIA,55,F-C,6-9,254 lbs,Xavier,USA
"Bud
Grant",LAL,20,F,6-3,195 lbs,Minnesota,USA
"Gary
Grant",LAC,14,G,6-3,185 lbs,Michigan,USA
"Greg
Grant",PHI,9,G,5-7,140 lbs,College of New Jersey,USA
"Harvey
Grant",WAS,44,F,6-9,225 lbs,Oklahoma,USA
"Horace
Grant",CHI,54,C,6-10,245 lbs,Clemson,USA
"Jerami
Grant",POR,9,F,6-7,210 lbs,Syracuse,USA
"Jerian
Grant",CHI,22,G,6-4,198 lbs,Notre Dame,USA
"Josh
Grant",GSW,11,F,6-9,223 lbs,Utah,USA
"Paul
Grant",UTA,45,C,7-0,245 lbs,Wisconsin,USA
"Travis
Grant",LAL,33,F,6-7,215 lbs,Kentucky State,USA
"Donte
Grantham",OKC,15,F,6-8,215 lbs,Clemson,USA
"Don
Grate",SHE,,G,6-2,185 lbs,Ohio State,USA
"Butch
Graves",CLE,10,F,6-3,200 lbs,Yale,USA
"Hassani
Gravett",ORL,12,G,6-2,187 lbs,South Carolina,USA
"Aaron
Gray",CHI,33,C,7-0,270 lbs,Pittsburgh,USA
"Devin
Gray",HOU,9,F,6-7,240 lbs,Clemson,USA
"Ed
Gray",ATL,22,G,6-3,210 lbs,California,USA
"Evric
Gray",BKN,2,F,6-7,235 lbs,UNLV,USA
"Gary
Gray",SAC,15,G,6-1,185 lbs,Oklahoma City,USA
"Josh
Gray",PHX,5,G,6-0,180 lbs,Louisiana State,USA
"Leonard
Gray",OKC,11,F,6-8,240 lbs,Long Beach State,USA
"RaiQuan
Gray",SAS,0,F,6-7,269 lbs,Florida State,USA
"Stuart
Gray",IND,40,C,7-0,235 lbs,UCLA,USA
"Sylvester
Gray",MIA,40,F,6-6,230 lbs,Memphis,USA
"Wyndol
Gray",BOS,4,G,6-1,175 lbs,Harvard,USA
"Jeff
Grayer",MIL,20,G,6-5,210 lbs,Iowa State,USA
"Bob
Greacen",MIL,18,F,6-7,206 lbs,Rutgers,USA
"A.C.
Green",LAL,45,F,6-9,225 lbs,Oregon State,USA
"AJ
Green",MIL,20,G,6-4,190 lbs,Northern Iowa,USA
"Danny
Green",PHI,14,G,6-6,215 lbs,North Carolina,USA
"Devin
Green",LAL,,G-F,6-7,212 lbs,Hampton,USA
"Draymond
Green",GSW,23,F,6-6,230 lbs,Michigan State,USA
"Erick
Green",DEN,11,G,6-4,185 lbs,Virginia Tech,USA
"Gerald
Green",BOS,14,G-F,6-7,205 lbs,No College,USA
"JaMychal
Green",GSW,1,F-C,6-9,227 lbs,Alabama,USA
"Jalen
Green",HOU,4,G,6-4,186 lbs,NBA G League Ignite,USA
"Javonte
Green",CLE,8,G,6-5,205 lbs,Radford,USA
"Jeff
Green",HOU,32,F,6-8,235 lbs,Georgetown,USA
"Johnny
Green",NYK,20,F,6-5,200 lbs,Michigan State,USA
"Josh
Green",CHA,10,G,6-5,200 lbs,Arizona,Australia
"Ken
Green",NYK,3,F,6-8,215 lbs,Texas-Pan American,USA
"Kenny
Green",PHI,21,G,6-6,210 lbs,Wake Forest,USA
"Lamar
Green",PHX,16,F,6-7,210 lbs,Morehead State,USA
"Litterial
Green",ORL,9,G,6-1,195 lbs,Georgia,USA
"Luther
Green",PHI,25,F,6-7,190 lbs,Long Island-Brooklyn,USA
"Mike
Green",SAS,23,C,6-10,200 lbs,Louisiana Tech,USA
"Rickey
Green",UTA,13,G,6-0,170 lbs,Michigan,USA
"Sean
Green",IND,30,G,6-5,210 lbs,Iona,USA
"Si
Green",WAS,28,G,6-2,185 lbs,Duquesne,USA
"Sidney
Green",CHI,21,F,6-9,220 lbs,UNLV,USA
"Steve
Green",IND,24,F,6-7,220 lbs,Indiana,USA
"Taurean
Green",DEN,0,G,6-0,177 lbs,Florida,USA
"Tommy
Green",UTA,14,G,6-2,185 lbs,Southern,USA
"Willie
Green",PHI,34,G,6-3,205 lbs,Detroit Mercy,USA
"Donte
Greene",SAC,13,F,6-11,226 lbs,Syracuse,USA
"Orien
Greene",BOS,5,G,6-4,208 lbs,Louisiana-Lafayette,USA
"Jerry
Greenspan",PHI,22,F,6-5,195 lbs,Maryland,USA
"David
Greenwood",CHI,33,F,6-9,222 lbs,UCLA,USA
"Hal
Greer",PHI,15,G,6-2,175 lbs,Marshall,USA
"Lynn
Greer",MIL,3,G,6-2,175 lbs,Temple,USA
"Gary
Gregor",POR,9,F,6-7,225 lbs,South Carolina,USA
"Claude
Gregory",LAC,43,F,6-8,205 lbs,Wisconsin,USA
"John
Greig",OKC,22,F,6-7,215 lbs,Oregon,USA
"Norm
Grekin",GSW,,F,6-5,180 lbs,La Salle,USA
"Kevin
Grevey",WAS,35,G,6-5,210 lbs,Kentucky,USA
"AJ
Griffin",ATL,14,F,6-6,220 lbs,Duke,USA
"Adrian
Griffin",DAL,44,G-F,6-5,230 lbs,Seton Hall,USA
"Blake
Griffin",BOS,91,F,6-9,250 lbs,Oklahoma,USA
"Eddie
Griffin",MIN,41,C,6-10,240 lbs,Seton Hall,USA
"Greg
Griffin",PHX,25,F,6-7,190 lbs,Idaho State,USA
"Paul
Griffin",SAS,30,F,6-9,205 lbs,Western Michigan,USA
"Taylor
Griffin",PHX,32,F,6-7,238 lbs,Oklahoma,USA
"Darrell
Griffith",UTA,35,G,6-4,190 lbs,Louisville,USA
"Chuck
Grigsby",NYK,17,G,6-5,190 lbs,Dayton,USA
"Quentin
Grimes",PHI,5,G,6-4,210 lbs,Houston,USA
"Derek
Grimm",SAC,54,F,6-9,230 lbs,Missouri,USA
"George
Grimshaw",PRO,,G,6-1,185 lbs,Brown,USA
"Dick
Groat",DET,5,G,5-11,180 lbs,Duke,USA
"Bob
Gross",POR,30,F,6-6,200 lbs,Long Beach State,USA
"Jerry
Grote",LAL,32,G,6-4,215 lbs,Loyola-Marymount,USA
"Alex
Groza",INO,,C,6-7,218 lbs,Kentucky,USA
"Anthony
Grundy",ATL,16,G,6-3,185 lbs,North Carolina State,USA
"Ernie
Grunfeld",NYK,18,G,6-6,210 lbs,Tennessee,USA
"Gene
Guarilia",BOS,20,F,6-5,220 lbs,George Washington,USA
"Petur
Gudmundsson",SAS,35,C,7-2,260 lbs,Washington,USA
"Marko
Guduric",MEM,23,G,6-6,201 lbs,Fenerbahce,Serbia
"Richie
Guerin",NYK,19,G,6-4,195 lbs,Iona,USA
"Mouhamadou
Gueye",TOR,16,F,6-9,210 lbs,Pittsburgh,USA
"Mouhamed
Gueye",ATL,18,F,6-10,210 lbs,Washington State,Senegal
"Tom
Gugliotta",PHX,7,F,6-10,250 lbs,North Carolina State,USA
"Andres
Guibert",MIN,51,C,6-10,225 lbs,Cantera Instituto,Cuba
"Jay
Guidinger",CLE,54,C,6-10,255 lbs,Minnesota-Duluth,USA
"Coulby
Gunther",PIT,,F,6-4,190 lbs,Boston College,USA
"Dave
Gunther",GSW,11,F,6-7,190 lbs,Iowa,USA
"Al
Guokas",DN,,,,,St. Joseph's (PA),USA
"Matt
Guokas",PHI,10,G,6-6,175 lbs,St. Joseph's (PA),USA
"Matt
Guokas",GSW,,G,6-3,195 lbs,St. Joseph's (PA),USA
"Jorge
Gutierrez",BKN,12,G,6-3,189 lbs,California,Mexico
"Kyle
Guy",MIA,7,G,6-1,167 lbs,Virginia,USA
"A.J.
Guyton",CHI,11,G,6-2,185 lbs,Indiana,USA
"Seung-Jin
Ha",POR,5,C,7-3,305 lbs,Yonsei,South Korea
"Rui
Hachimura",LAL,28,F,6-8,230 lbs,Gonzaga,Japan
"Rudy
Hackett",IND,45,F,6-9,210 lbs,Syracuse,USA
"Hamed
Haddadi",MEM,98,C,7-2,265 lbs,Saba Battery,Iran
"Scott
Haffner",MIA,4,G,6-3,180 lbs,Evansville,USA
"Cliff
Hagan",ATL,16,F,6-4,210 lbs,Kentucky,USA
"Glenn
Hagan",DET,10,G,6-0,170 lbs,St. Bonaventure,USA
"Ashton
Hagans",POR,19,G-F,6-3,190 lbs,Kentucky,USA
"Bob
Hahn",CHS,,C,6-10,240 lbs,North Carolina State,USA
"Al
Hairston",OKC,25,G,6-1,170 lbs,Bowling Green,USA
"Happy
Hairston",LAL,52,F,6-7,225 lbs,New York University,USA
"Lindsay
Hairston",DET,45,F,6-7,180 lbs,Michigan State,USA
"Malik
Hairston",SAS,1,G,6-6,220 lbs,Oregon,USA
"PJ
Hairston",CHA,19,F-G,6-6,230 lbs,North Carolina,USA
"Marcus
Haislip",MIL,12,F,6-10,230 lbs,Tennessee,USA
"Chuck
Halbert",BAL,,C,6-9,225 lbs,West Texas A&M,USA
"Harvey
Halbrook",PHI,11,C,7-3,235 lbs,Oregon State,USA
"Bruce
Hale",INO,35,G,6-1,170 lbs,Santa Clara,USA
"Jack
Haley",BKN,54,C,6-10,242 lbs,UCLA,USA
"Tyrese
Haliburton",IND,0,G,6-5,185 lbs,Iowa State,USA
"Shaler
Halimon",POR,11,G,6-5,199 lbs,Utah State,USA
"Devon
Hall",OKC,14,G,6-5,215 lbs,Virginia,USA
"Donta
Hall",ORL,45,F,6-9,229 lbs,Alabama,USA
"Jordan
Hall",SAS,55,G,6-7,215 lbs,St. Joseph's (PA),USA
"Josh
Hall",OKC,15,F,6-9,190 lbs,Moravian Prep (NC),USA
"Mike
Hall",WAS,42,F,6-8,230 lbs,George Washington,USA
"PJ
Hall",DEN,13,C,6-10,245 lbs,Clemson,USA
"Tyler
Hall",DAL,9,G,6-4,209 lbs,Montana State,USA
"Jeff
Halliburton",ATL,42,G,6-5,193 lbs,Drake,USA
"Darvin
Ham",MIL,8,F-G,6-7,240 lbs,Texas Tech,USA
"Steve
Hamer",BOS,42,C,7-0,245 lbs,Tennessee,USA
"Dale
Hamilton",WAT,,G,6-0,180 lbs,Franklin,USA
"Daniel
Hamilton",ATL,25,G-F,6-7,195 lbs,Connecticut,USA
"Dennis
Hamilton",LAL,12,F,6-8,210 lbs,Arizona State,USA
"Jordan
Hamilton",DEN,25,G-F,6-7,220 lbs,Texas,USA
"Justin
Hamilton",BKN,41,C,7-0,255 lbs,Louisiana State,USA
"Ralph
Hamilton",JET,,,,,Indiana,USA
"Richard
Hamilton",DET,32,G,6-7,193 lbs,Connecticut,USA
"Roylee
Hamilton",DET,23,G,6-2,180 lbs,UCLA,USA
"Steve
Hamilton",LAL,30,F,6-6,190 lbs,Morehead State,USA
"Tang
Hamilton",MIA,5,F,6-8,205 lbs,Mississippi State,USA
"Thomas
Hamilton",HOU,55,C,7-2,330 lbs,Pittsburgh,USA
"Zendon
Hamilton",DEN,42,C,6-11,240 lbs,St. John's (NY),USA
"Geert
Hammink",ORL,43,F-C,7-0,262 lbs,Louisiana State,Netherlands
"Tom
Hammonds",DEN,20,F,6-9,225 lbs,Georgia Tech,USA
"AJ
Hammons",DAL,20,C,7-0,260 lbs,Purdue,USA
"R.J.
Hampton",MIA,14,G,6-4,175 lbs,Capital City Go-Go,USA
"Darrin
Hancock",CHA,35,F,6-7,205 lbs,Kansas,USA
"Ben
Handlogten",UTA,44,C,6-10,240 lbs,Western Michigan,USA
"Cecil
Hankins",BOM,5,G,6-1,175 lbs,Oklahoma State,USA
"Phil
Hankinson",BOS,20,F,6-8,195 lbs,Pennsylvania,USA
"Dusty
Hannahs",MEM,,G,6-3,210 lbs,Arkansas,USA
"Alex
Hannum",SAC,33,F,6-7,210 lbs,Southern California,USA
"Don
Hanrahan",INO,,F,6-7,200 lbs,Loyola-Chicago,USA
"Rollen
Hans",BAL,,G,6-2,210 lbs,Long Island-Brooklyn,USA
"Ben
Hansbrough",IND,23,G,6-3,203 lbs,Notre Dame,USA
"Tyler
Hansbrough",IND,50,F,6-9,250 lbs,North Carolina,USA
"Bob
Hansen",UTA,20,G,6-6,190 lbs,Iowa,USA
"Glenn
Hansen",SAC,20,G,6-4,205 lbs,Louisiana State,USA
"Lars
Hansen",OKC,22,C,6-10,225 lbs,Washington,USA
